Date;;Rachel / Papineau;Berri1;Maisonneuve_2;Maisonneuve_1;Brébeuf;Parc;PierDup;CSC (Côte Sainte-Catherine);Pont_Jacques_Cartier
02/05/2012;00:00;3501;3724;4731;2885;1883;2508;876;1677;1809
03/05/2012;00:00;3603;3698;4943;3001;1793;2577;731;1618;1538
04/05/2012;00:00;2631;2511;3717;2058;1279;1823;380;1163;845
05/05/2012;00:00;4108;3492;3696;2106;2075;1779;1677;1366;1576
06/05/2012;00:00;4633;3411;3346;1815;2302;1879;2036;1525;1731
07/05/2012;00:00;5253;5552;6355;3959;3005;3416;1848;2573;2680
08/05/2012;00:00;1383;1241;1729;991;688;1007;119;625;487
09/05/2012;00:00;3129;3297;4343;2700;1704;2340;737;1545;1294
10/05/2012;00:00;2437;2755;4056;2130;1250;2075;399;1227;1064
11/05/2012;00:00;4499;4639;5713;3663;2384;2888;1260;1803;1695
12/05/2012;00:00;4855;3854;3894;2429;2309;1805;2268;1457;2092
13/05/2012;00:00;3496;2741;3086;1703;1901;1592;1394;1223;7175
14/05/2012;00:00;5775;6189;7006;4402;3278;3868;2215;2709;3237
15/05/2012;00:00;3765;3964;5088;3144;1972;2650;975;1773;1454
16/05/2012;00:00;4348;4947;5882;3681;2409;3057;1332;2178;1893
17/05/2012;00:00;4988;5351;6551;4182;2657;3408;1631;2441;2230
18/05/2012;00:00;5273;5980;6646;4415;2911;3196;1711;2241;2365
19/05/2012;00:00;5293;4732;4673;2807;2723;1966;2914;1454;2628
20/05/2012;00:00;5539;5255;4462;2730;2787;2182;4241;1663;3073
21/05/2012;00:00;5053;5129;4169;2672;2737;2044;3413;1646;2163
22/05/2012;00:00;2069;2315;2599;1847;1225;1610;251;938;679
23/05/2012;00:00;4798;5974;7281;4407;2937;3737;1826;2650;2524
24/05/2012;00:00;5209;6485;7600;4600;3255;3792;2062;2653;2639
25/05/2012;00:00;5174;5670;6677;4096;532;3341;1953;2205;2056
26/05/2012;00:00;5443;4981;5017;2936;;2373;3455;1622;2571
27/05/2012;00:00;5168;4391;4559;2578;;2073;2886;1525;2364
28/05/2012;00:00;3894;4263;5789;3449;;2898;1027;1962;1790
29/05/2012;00:00;2731;3152;3912;2325;;1933;475;1184;2012
30/05/2012;00:00;5172;6475;7644;4806;;3817;2454;2722;2758
31/05/2012;00:00;4410;5123;6632;3985;;3205;1389;2177;1995
01/06/2012;00:00;6595;6092;7181;4110;;3895;1692;2604;2579
02/06/2012;00:00;1436;904;1259;630;;628;71;392;772
03/06/2012;00:00;4936;2763;3774;2020;;2324;1312;1897;1634
04/06/2012;00:00;3090;2718;4266;2095;;2168;333;1408;2523
05/06/2012;00:00;5348;5843;7314;3927;;3786;1232;2721;1692
06/06/2012;00:00;5269;6047;7825;4273;;3987;1223;2724;2746
07/06/2012;00:00;5724;6235;8220;4670;;3972;1019;2607;2760
08/06/2012;00:00;4474;4190;5898;3303;;3001;623;1833;2996
09/06/2012;00:00;6026;5185;5589;3418;;2451;1551;1672;2101
10/06/2012;00:00;6170;5083;4761;2905;;2328;1833;1812;2880
11/06/2012;00:00;5721;6203;7005;4333;;3757;1264;2577;3020
12/06/2012;00:00;3030;3346;4220;2362;;2381;589;1556;1421
13/06/2012;00:00;5887;6221;7312;4374;;3825;1968;2792;2863
14/06/2012;00:00;6243;6899;7942;4809;;4223;2386;2978;2996
15/06/2012;00:00;6491;7104;7685;4999;;4053;2293;2469;2756
16/06/2012;00:00;5537;5412;4900;3099;;2337;3280;1651;2446
17/06/2012;00:00;5128;4597;4077;2082;;2020;3453;1552;2879
18/06/2012;00:00;5496;5918;6835;3582;;3960;2455;2703;3012
19/06/2012;00:00;5015;5389;6673;3447;;3438;1711;2360;2529
20/06/2012;00:00;4852;5715;6857;3524;;3510;2363;2402;2734
21/06/2012;00:00;4957;5186;6686;3297;;3272;2265;2195;2503
22/06/2012;00:00;5263;5404;6666;3612;;3252;2009;1934;4577
23/06/2012;00:00;4824;3738;3991;1842;;1910;2585;1326;2520
24/06/2012;00:00;4581;3334;2977;1423;;1510;3634;1152;2907
25/06/2012;00:00;3283;2249;3020;1374;;1440;1349;1077;2782
26/06/2012;00:00;3223;3322;4314;2139;;2193;620;1435;1259
27/06/2012;00:00;2897;3152;4212;2142;;2134;536;1322;1137
28/06/2012;00:00;5175;6098;6886;4411;;3523;2415;2381;2641
29/06/2012;00:00;5332;5783;6662;4004;;3090;2109;1935;2493
30/06/2012;00:00;4527;4728;4234;3007;;1822;2870;1359;2743
01/07/2012;00:00;4522;4738;3952;2911;;1777;3732;1343;2426
02/07/2012;00:00;4464;4143;3977;2658;;1883;2783;1397;2048
03/07/2012;00:00;5462;6708;7399;4398;;3896;2606;2634;3251
04/07/2012;00:00;4493;5147;5824;3591;;3070;1246;2038;2029
05/07/2012;00:00;5153;6703;7763;4830;;3816;2746;2603;2112
06/07/2012;00:00;5610;5963;6955;4137;;3387;2248;2095;2414
07/07/2012;00:00;4939;5445;5000;3802;;2132;3156;1289;2286
08/07/2012;00:00;5535;4677;4457;2407;;2089;4386;1497;3331
09/07/2012;00:00;4987;5669;6765;3524;;3577;2599;2330;2953
10/07/2012;00:00;5952;6518;7447;4064;;3749;2822;2625;3294
11/07/2012;00:00;5474;6424;7366;3921;;3781;2779;2548;4153
12/07/2012;00:00;5140;6178;7202;3772;;3687;2433;2371;2565
13/07/2012;00:00;5185;5515;6508;3525;;3088;2219;2005;2488
14/07/2012;00:00;4252;4227;4281;2441;;1562;2900;1244;2378
15/07/2012;00:00;3545;3008;3406;1798;;1449;2034;1060;1945
16/07/2012;00:00;4379;4822;6053;3141;;2965;1703;2092;2323
17/07/2012;00:00;2641;2761;3799;2001;;1700;569;1046;783
18/07/2012;00:00;5884;6184;7324;3750;;3654;2813;2589;3037
19/07/2012;00:00;5665;6322;7708;3996;;3777;2647;2397;1345
20/07/2012;00:00;5775;5812;6952;3744;;3316;2538;2088;3096
21/07/2012;00:00;4848;5118;4683;2957;;1821;3835;1419;2460
22/07/2012;00:00;4787;4938;4086;2683;;1788;2960;1238;2723
23/07/2012;00:00;3475;3858;4911;2420;;2534;1461;1660;2130
24/07/2012;00:00;4694;5252;6746;3465;;3317;2170;2318;2700
25/07/2012;00:00;5059;6107;7065;3786;;3622;3132;2593;3564
26/07/2012;00:00;4383;5591;6490;4174;;3208;1595;2043;2332
27/07/2012;00:00;5295;5733;6870;3658;;3275;2653;1948;2959
28/07/2012;00:00;4631;4115;4501;2504;;1767;2468;1345;2653
29/07/2012;00:00;4906;4207;4237;1791;;1905;3731;1332;3232
30/07/2012;00:00;5100;5225;6210;2975;;3196;2564;2285;3205
31/07/2012;00:00;4468;5422;6707;3145;;3222;2505;2185;3023
01/08/2012;00:00;3889;4644;5852;2783;;2810;1481;1842;2197
02/08/2012;00:00;4828;5700;6968;3340;;3329;2643;2361;2957
03/08/2012;00:00;5031;5612;6451;3306;;2789;3195;1915;4858
04/08/2012;00:00;4467;4213;4407;2019;;1769;2939;1305;3994
05/08/2012;00:00;2268;1838;2300;1100;;970;1066;630;2098
06/08/2012;00:00;4604;5247;6375;3193;;3187;2274;2277;3130
07/08/2012;00:00;4903;5987;6833;3622;;3480;2780;2410;3186
08/08/2012;00:00;4771;5516;6883;3365;;3403;2226;2313;2926
09/08/2012;00:00;3636;4117;5366;2601;;2656;1471;1802;2025
10/08/2012;00:00;2456;2408;3318;1727;;1641;440;934;927
11/08/2012;00:00;2608;2454;2626;1589;;1043;1340;815;1456
12/08/2012;00:00;4178;3993;3433;1937;;1719;2988;1338;2721
13/08/2012;00:00;4842;4934;5934;3124;;3151;2090;2298;2868
14/08/2012;00:00;4362;5339;6331;3571;;3260;1456;2322;2883
15/08/2012;00:00;3877;4307;4953;2936;;2686;970;1882;2061
16/08/2012;00:00;4943;6055;6564;3898;;3366;1549;2538;3158
17/08/2012;00:00;4154;4239;4983;3099;;2581;586;1777;1999
18/08/2012;00:00;4359;4443;3853;2505;;1864;1229;1333;2159
19/08/2012;00:00;4478;4613;3771;2605;;1758;1683;1408;2369
20/08/2012;00:00;5201;5342;6086;3521;;3332;1439;2474;3140
21/08/2012;00:00;5640;5791;6705;4063;;3369;2353;2508;3265
22/08/2012;00:00;5154;6532;7050;4513;;3774;2391;2671;3231
23/08/2012;00:00;5010;5447;6789;3807;;3573;1864;2482;2900
24/08/2012;00:00;5299;5695;6714;3778;;3312;2178;2394;2881
25/08/2012;00:00;4833;4229;4118;2358;;1726;2558;1305;2114
26/08/2012;00:00;4536;3953;3545;2118;;1750;2932;1318;2570
27/08/2012;00:00;3598;4318;5189;3098;;2762;1010;2273;2130
28/08/2012;00:00;4720;5809;6310;3966;;3420;1629;2794;2645
29/08/2012;00:00;5342;6337;7017;4370;;3759;2152;3092;3147
30/08/2012;00:00;5202;5999;6787;4199;;3481;1796;2910;2877
31/08/2012;00:00;4188;4130;5061;2999;;2541;875;1868;1658
01/09/2012;00:00;3845;3922;3915;2371;;1887;2801;1225;2370
02/09/2012;00:00;4247;3701;3811;2093;;1788;2959;1232;2338
03/09/2012;00:00;4709;4160;3716;2233;;1620;3783;1532;2724
04/09/2012;00:00;3868;4226;5271;3057;;3006;894;1934;1859
05/09/2012;00:00;4491;5669;7116;3861;;4061;1383;2722;2369
06/09/2012;00:00;4732;5883;7514;3967;;4014;1498;2883;2644
07/09/2012;00:00;6104;6193;7347;4153;;3886;2051;2720;2874
08/09/2012;00:00;2626;2138;2712;1467;;898;801;1192;1146
09/09/2012;00:00;4355;3310;3459;1828;;2668;2118;1810;2107
10/09/2012;00:00;4984;5073;6638;3718;;3849;1271;2792;2440
11/09/2012;00:00;5451;6023;7147;4081;;4314;1484;2913;2623
12/09/2012;00:00;5697;6357;7302;4209;;4510;1981;3124;3063
13/09/2012;00:00;5742;6513;7529;4369;;4494;1986;3076;2943
14/09/2012;00:00;4918;5203;6084;3480;;3574;1524;2257;2276
15/09/2012;00:00;3426;3357;3108;1900;;1593;1268;1100;1478
16/09/2012;00:00;3696;3624;3031;1614;;1852;2348;1231;1849
17/09/2012;00:00;4788;5295;6579;3670;;4076;1704;2658;2613
18/09/2012;00:00;2377;2532;3247;1695;;2275;388;1277;1038
19/09/2012;00:00;4189;4662;5755;3176;;3738;840;2351;1860
20/09/2012;00:00;5119;5255;6352;3615;;3991;1391;2496;2414
21/09/2012;00:00;3886;4019;4731;2911;;2945;889;1821;1662
22/09/2012;00:00;1974;1524;1703;1073;;971;365;656;588
23/09/2012;00:00;3321;2304;2560;1496;;1470;984;1093;1507
24/09/2012;00:00;4683;4560;5744;3117;;3705;1100;2246;2043
25/09/2012;00:00;4420;5045;5857;3273;;3712;1007;2236;1959
26/09/2012;00:00;3721;3948;4751;2720;;3119;650;1873;1561
27/09/2012;00:00;4598;5115;5985;3465;;3704;1152;2288;2196
28/09/2012;00:00;4361;4664;5377;3209;;3309;1133;2134;1905
29/09/2012;00:00;2267;1882;1956;1206;;1062;442;755;780
30/09/2012;00:00;1162;867;946;513;;520;133;359;320
01/10/2012;00:00;2987;3264;3837;2184;;2582;397;1576;1161
02/10/2012;00:00;4497;5154;5847;3281;;3732;1229;2525;2135
03/10/2012;00:00;3941;4676;5476;3191;;3415;858;2377;1711
04/10/2012;00:00;3418;4034;4852;2705;;3066;555;2025;1501
05/10/2012;00:00;4088;4148;4703;2799;;2844;1035;1977;1703
06/10/2012;00:00;1775;1296;1578;933;;776;236;469;4229
07/10/2012;00:00;2052;1589;1627;922;;860;695;660;836
08/10/2012;00:00;2502;1854;1810;987;;1040;1115;880;292
09/10/2012;00:00;4078;4783;5138;3026;;3418;927;2210;255
10/10/2012;00:00;2703;3111;3683;2081;;2608;560;1537;0
11/10/2012;00:00;3457;3757;4694;2569;;3034;558;1857;0
12/10/2012;00:00;3224;3167;4054;2261;;2564;448;1460;0
13/10/2012;00:00;2309;1773;2111;1205;;1183;681;802;0
14/10/2012;00:00;952;583;839;443;;503;65;287;0
15/10/2012;00:00;3183;3298;4202;2165;;2754;560;1678;0
16/10/2012;00:00;3593;3748;4676;2684;;2997;554;1858;0
17/10/2012;00:00;3834;4097;4847;2645;;3063;728;1964;0
18/10/2012;00:00;4245;4685;5548;3129;;3477;1108;2292;0
19/10/2012;00:00;1486;1292;1659;885;;1209;111;597;0
20/10/2012;00:00;2243;2010;2265;1323;;1213;797;748;0
21/10/2012;00:00;1648;1275;1773;869;;898;242;609;0
22/10/2012;00:00;3721;3657;4810;2495;;3023;757;1819;0
23/10/2012;00:00;3554;4174;5212;2795;;3233;795;1997;0
24/10/2012;00:00;3622;3741;4901;2625;;3035;649;1868;0
25/10/2012;00:00;3767;3745;5015;2528;;3017;631;1815;0
26/10/2012;00:00;4578;4285;5269;2754;;3000;1456;1987;0
27/10/2012;00:00;2471;1865;2435;1244;;1193;618;792;0
28/10/2012;00:00;1876;1296;1770;910;;955;387;697;0
29/10/2012;00:00;2795;2916;3764;2071;;2440;411;1458;0
30/10/2012;00:00;2790;2894;3525;2007;;2255;338;1251;0
31/10/2012;00:00;2570;2630;3454;1835;;2220;245;1294;0
01/11/2012;00:00;2461;2408;3069;1701;;2076;165;1208;0
02/11/2012;00:00;1888;1575;2291;1109;;1392;97;737;0
03/11/2012;00:00;1302;844;1129;612;;713;105;380;0
04/11/2012;00:00;1374;965;1283;710;;692;197;446;0
05/11/2012;00:00;2430;2255;3216;1705;;2143;179;1170;0
06/11/2012;00:00;2679;2529;3365;1804;;1999;197;1201;0
07/11/2012;00:00;2391;2324;3227;1745;;2079;177;1116;0
08/11/2012;00:00;2436;2267;3279;1716;;2032;167;1113;0
09/11/2012;00:00;2376;2314;3046;1734;;1727;228;1012;0
10/11/2012;00:00;1801;1358;1531;941;;808;210;512;0
11/11/2012;00:00;1455;1080;1321;761;;769;239;502;0
12/11/2012;00:00;2954;3019;3978;2087;;2374;639;1409;0
13/11/2012;00:00;2452;2290;3303;1722;;1994;113;1177;
14/11/2012;00:00;2602;2580;3388;1811;;2125;218;1206;
15/11/2012;00:00;2411;2242;3042;1644;;1963;140;1119;
16/11/2012;00:00;2083;1861;2417;1325;;1550;200;885;
17/11/2012;00:00;1393;977;1211;685;;706;157;429;
18/11/2012;00:00;1271;886;1039;520;;603;207;390;
19/11/2012;00:00;2014;1674;2427;1220;;1699;194;940;
20/11/2012;00:00;2265;1886;2598;1405;;1726;181;992;
21/11/2012;00:00;2269;1997;2729;1485;;1784;260;1110;
22/11/2012;00:00;2382;2197;2891;1418;;1868;286;1143;
23/11/2012;00:00;2033;1716;2337;1152;;1451;194;896;
24/11/2012;00:00;998;605;879;413;;482;69;301;
25/11/2012;00:00;866;523;719;302;;390;38;229;
26/11/2012;00:00;1656;1467;1956;1007;;1346;89;663;
27/11/2012;00:00;1820;1686;2135;1090;;1413;100;786;
28/11/2012;00:00;1602;1395;1804;920;;1207;65;685;
29/11/2012;00:00;886;681;1011;483;;504;26;267;
30/11/2012;00:00;784;693;937;482;;536;13;148;
01/12/2012;00:00;468;293;372;219;;226;26;55;
02/12/2012;00:00;393;324;395;115;;218;35;100;
03/12/2012;00:00;1499;1286;1753;876;;1184;116;653;
04/12/2012;00:00;1502;1264;1654;882;;1139;97;639;
05/12/2012;00:00;1402;1204;1573;846;;980;40;585;
06/12/2012;00:00;1392;1252;1595;811;;1036;76;544;
07/12/2012;00:00;1384;1151;1574;742;;903;65;466;
08/12/2012;00:00;546;382;459;265;;298;26;192;
09/12/2012;00:00;642;427;513;272;;314;52;180;
10/12/2012;00:00;323;245;375;148;;126;5;17;
11/12/2012;00:00;598;517;711;336;;308;20;0;
12/12/2012;00:00;699;598;852;417;;360;14;1;
13/12/2012;00:00;781;655;844;400;;431;26;1;
14/12/2012;00:00;856;738;878;457;;474;41;2;
15/12/2012;00:00;464;335;375;205;;185;10;0;
16/12/2012;00:00;251;177;205;100;;96;10;0;
17/12/2012;00:00;204;236;355;135;;51;11;0;
18/12/2012;00:00;169;242;256;125;;21;9;0;
19/12/2012;00:00;383;346;456;181;;162;1;0;
20/12/2012;00:00;434;433;538;262;;166;9;0;
21/12/2012;00:00;208;178;249;86;;56;6;1;
22/12/2012;00:00;62;84;71;35;;16;1;0;
23/12/2012;00:00;87;82;50;39;;19;4;0;
24/12/2012;00:00;101;51;92;33;;25;1;0;
25/12/2012;00:00;59;26;26;22;;8;17;0;
26/12/2012;00:00;95;49;74;48;;20;7;0;
27/12/2012;00:00;8;12;7;4;;1;2;0;
28/12/2012;00:00;0;35;3;38;;0;0;0;
29/12/2012;00:00;0;27;8;42;;9;0;0;
30/12/2012;00:00;0;5;1;5;;6;0;0;
31/12/2012;00:00;0;4;3;8;;12;0;0;
